time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw,diesel_power_mw__diesel_slow,diesel_power_mw__diesel_fast,storage_power_mw__bess_1,storage_power_mw__bess_2,storage_soc__bess_1,storage_soc__bess_2
3.06,49.3718086,-0.628191438,0.323582202,1.05233027,0.749888259,2,0.131753201,0.191829002,0.618915309,0.433414961,0.799898897,0.649866984
3.08,49.3718863,-0.628113661,0.326186502,1.05184422,0.749886961,2,0.133068215,0.193118287,0.618572003,0.433272219,0.799897751,0.64986538
3.1,49.3719889,-0.628011122,0.328759678,1.05132979,0.749885663,2,0.134374177,0.194385502,0.618214364,0.433115421,0.799896606,0.649863775
3.12,49.3721151,-0.627884855,0.331301883,1.05078832,0.749884366,2,0.135671056,0.195630827,0.617843119,0.432945197,0.799895462,0.649862172
3.14,49.3722641,-0.627735864,0.333813276,1.05022113,0.749883069,2,0.136958827,0.196854449,0.61745897,0.432762158,0.799894319,0.649860569
3.16,49.3724349,-0.627565122,0.336294027,1.04962949,0.749881773,2,0.138237466,0.198056561,0.617062598,0.432566893,0.799893176,0.649858967
3.18,49.3726264,-0.627373571,0.338744312,1.04901464,0.749880478,2,0.139506955,0.199237357,0.616654659,0.432359977,0.799892034,0.649857366
3.2,49.3728379,-0.627162126,0.341164314,1.04837775,0.749879184,2,0.140767279,0.200397036,0.616235791,0.432141962,0.799890893,0.649855765
3.22,49.3730683,-0.626931671,0.343554226,1.04771999,0.74987789,2,0.142018425,0.201535801,0.615806607,0.431913387,0.799889753,0.649854166
3.24,49.3733169,-0.626683067,0.345914243,1.04704247,0.749876598,2,0.143260385,0.202653859,0.615367704,0.43167477,0.799888613,0.649852567
3.26,49.3735829,-0.626417143,0.348244571,1.04634627,0.749875306,2,0.144493153,0.203751417,0.614919654,0.431426616,0.799887474,0.649850969
3.28,49.3738653,-0.626134705,0.350545417,1.04563242,0.749874015,2,0.145716728,0.204828689,0.614463014,0.43116941,0.799886336,0.649849372
3.3,49.3741635,-0.625836535,0.352816999,1.04490194,0.749872725,2,0.146931111,0.205885888,0.613998321,0.430903624,0.799885199,0.649847776
3.32,49.3744766,-0.625523386,0.355059534,1.0441558,0.749871436,2,0.148136304,0.20692323,0.613526091,0.430629713,0.799884063,0.649846181
3.34,49.374804,-0.625195992,0.35727325,1.04339495,0.749870148,2,0.149332314,0.207940935,0.613046826,0.430348119,0.799882928,0.649844587
3.36,49.3751449,-0.624855059,0.359458374,1.04262028,0.749868861,2,0.150519151,0.208939223,0.612561009,0.430059268,0.799881794,0.649842994
3.38,49.3754987,-0.624501273,0.361615141,1.04183268,0.749867574,2,0.151696825,0.209918315,0.612069106,0.429763571,0.79988066,0.649841403
3.4,49.3758647,-0.624135297,0.363743787,1.04103299,0.749866289,2,0.152865351,0.210878436,0.611571566,0.429461428,0.799879528,0.649839812
3.42,49.3762422,-0.623757773,0.365844555,1.04022205,0.749865005,2,0.154024745,0.211819811,0.611068825,0.429153223,0.799878396,0.649838223
3.44,49.3766307,-0.623369322,0.367917689,1.03940063,0.749863722,2,0.155175025,0.212742664,0.6105613,0.428839328,0.799877265,0.649836634
3.46,49.3770295,-0.622970544,0.369963435,1.0385695,0.749862439,2,0.156316212,0.213647223,0.610049396,0.428520103,0.799876136,0.649835047
3.48,49.377438,-0.622562019,0.371982044,1.0377294,0.749861158,2,0.15744833,0.214533715,0.609533501,0.428195895,0.799875007,0.649833461
3.5,49.3778557,-0.622144309,0.373973769,1.03688103,0.749859878,2,0.158571401,0.215402368,0.609013991,0.42786704,0.799873879,0.649831877
3.52,49.378282,-0.621717956,0.375938865,1.03602509,0.749858599,2,0.159685455,0.216253411,0.608491226,0.42753386,0.799872752,0.649830293
3.54,49.3787165,-0.621283484,0.377877589,1.03516222,0.749857321,2,0.160790517,0.217087072,0.607965554,0.427196668,0.799871626,0.649828711
3.56,49.3791586,-0.620841399,0.3797902,1.03429308,0.749856044,2,0.16188662,0.21790358,0.607437311,0.426855765,0.799870501,0.64982713
3.58,49.3796078,-0.620392191,0.381676959,1.03341826,0.749854768,2,0.162973794,0.218703164,0.606906819,0.426511442,0.799869378,0.64982555
3.6,49.3800637,-0.619936333,0.383538127,1.03253837,0.749853494,2,0.164052074,0.219486053,0.606374388,0.42616398,0.799868255,0.649823972
3.62,49.3805257,-0.619474279,0.385373968,1.03165396,0.74985222,2,0.165121493,0.220252475,0.605840316,0.425813649,0.799867133,0.649822395
3.64,49.3809935,-0.619006472,0.387184746,1.0307656,0.749850948,2,0.166182089,0.221002657,0.60530489,0.425460708,0.799866012,0.649820819
3.66,49.3814667,-0.618533334,0.388970727,1.0298738,0.749849676,2,0.167233899,0.221736828,0.604768386,0.42510541,0.799864892,0.649819245
3.68,49.3819447,-0.618055277,0.390732176,1.02897906,0.749848406,2,0.168276962,0.222455214,0.604231069,0.424747996,0.799863773,0.649817671
3.7,49.3824273,-0.617572695,0.39246936,1.02808189,0.749847136,2,0.169311318,0.223158042,0.603693192,0.424388698,0.799862655,0.6498161
3.72,49.382914,-0.617085971,0.394182545,1.02718274,0.749845868,2,0.170337009,0.223845536,0.603155,0.424027742,0.799861538,0.649814529
3.74,49.3834045,-0.61659547,0.395872,1.02628207,0.749844601,2,0.171354077,0.224517922,0.602616728,0.423665342,0.799860422,0.64981296
3.76,49.3838985,-0.616101548,0.39753799,1.02538031,0.749843335,2,0.172362567,0.225175423,0.602078599,0.423301707,0.799859307,0.649811392
3.78,49.3843955,-0.615604546,0.399180783,1.02447786,0.749842071,2,0.173362522,0.225818261,0.60154083,0.422937035,0.799858193,0.649809826
3.8,49.3848952,-0.615104791,0.400800646,1.02357514,0.749840807,2,0.174353989,0.226446657,0.601003626,0.422571519,0.79985708,0.649808261
3.82,49.3853974,-0.614602602,0.402397845,1.02267253,0.749839544,2,0.175337013,0.227060832,0.600467186,0.422205342,0.799855968,0.649806697
3.84,49.3859017,-0.614098281,0.403972647,1.02177038,0.749838283,2,0.176311642,0.227661004,0.599931697,0.421838683,0.799854857,0.649805135
3.86,49.3864079,-0.613592123,0.405525317,1.02086905,0.749837023,2,0.177277925,0.228247392,0.599397342,0.421471711,0.799853747,0.649803574
3.88,49.3869156,-0.613084409,0.407056119,1.01996888,0.749835763,2,0.17823591,0.228820209,0.598864293,0.42110459,0.799852638,0.649802014
3.9,49.3874246,-0.61257541,0.408565319,1.01907019,0.749834505,2,0.179185647,0.229379672,0.598332716,0.420737475,0.79985153,0.649800456
3.92,49.3879346,-0.612065387,0.410053179,1.01817329,0.749833248,2,0.180127186,0.229925993,0.597802768,0.420370518,0.799850423,0.649798899
3.94,49.3884454,-0.611554589,0.411519961,1.01727846,0.749831992,2,0.181060578,0.230459384,0.597274599,0.420003862,0.799849317,0.649797343
3.96,49.3889567,-0.611043258,0.412965927,1.016386,0.749830738,2,0.181985874,0.230980053,0.596748354,0.419637644,0.799848212,0.649795789
3.98,49.3894684,-0.610531623,0.414391337,1.01549617,0.749829484,2,0.182903127,0.23148821,0.596224169,0.419271998,0.799847108,0.649794236
4,49.3899801,-0.610019907,0.415796449,1.01460922,0.749828231,2,0.183812389,0.231984061,0.595702175,0.418907048,0.799846005,0.649792685
4.02,49.3904917,-0.609508322,0.417181521,1.01372541,0.74982698,2,0.184713712,0.232467809,0.595182495,0.418542917,0.799844902,0.649791134
4.04,49.3910029,-0.60899707,0.418546809,1.01284497,0.749825729,2,0.185607151,0.232939658,0.594665247,0.418179719,0.799843801,0.649789586
4.06,49.3915137,-0.608486349,0.419892568,1.01196811,0.74982448,2,0.18649276,0.233399808,0.594150543,0.417817565,0.799842701,0.649788038
4.08,49.3920237,-0.607976343,0.42121905,1.01109505,0.749823232,2,0.187370591,0.233848459,0.593638488,0.417456561,0.799841602,0.649786492
4.1,49.3925328,-0.607467232,0.422526508,1.01022599,0.749821985,2,0.1882407,0.234285807,0.593129185,0.417096806,0.799840503,0.649784947
